match_id,round_id,steamid,name,item
match001,1,76561199127458988,Valerius,P250
match001,1,76561198988987546,Baron26,Glock-18
match001,1,76561198870364933,Dr_Risto,P250
match001,1,76561199766385308,Tokugawa,USP-S
match001,1,76561199272285495,NedsTrex | FRUKTPEEK!,P2000
match001,1,76561198059502594,TheDidacte,Glock-18
match001,1,76561199028151244,KurtKnusper,USP-S
match001,1,76561199643239709,Pimiento Picante,Glock-18
match001,1,76561198175180459,Kolle257,USP-S
match001,2,76561198175180459,Kolle257,USP-S
match001,2,76561199028151244,KurtKnusper,USP-S
match001,2,76561199127458988,Valerius,USP-S
match001,2,76561199272285495,NedsTrex | FRUKTPEEK!,P2000
match001,2,76561199766385308,Tokugawa,USP-S
match001,2,76561199127458988,Valerius,P250
match001,2,76561199643239709,Pimiento Picante,Glock-18
match001,2,76561198870364933,Dr_Risto,AK-47
match001,2,76561198988987546,Baron26,AK-47
match001,2,76561198059502594,TheDidacte,AK-47
match001,2,76561198812311227,anonymeTito,AK-47
match001,2,76561199028151244,KurtKnusper,MP7
match001,2,76561199643239709,Pimiento Picante,AK-47
match001,2,76561199272285495,NedsTrex | FRUKTPEEK!,P250
match001,2,76561199766385308,Tokugawa,P250
match001,2,76561198812311227,anonymeTito,Glock-18
match001,2,76561198812311227,anonymeTito,Smoke Grenade
match001,2,76561198988987546,Baron26,HE Grenade
match001,2,76561198175180459,Kolle257,Nova
match001,2,76561198175180459,Kolle257,Smoke Grenade
match001,2,76561198059502594,TheDidacte,Smoke Grenade
match001,2,76561198059502594,TheDidacte,HE Grenade
match001,2,76561199127458988,Valerius,Nova
match001,2,76561198988987546,Baron26,Glock-18
match001,2,76561199028151244,KurtKnusper,AK-47
match001,3,76561198059502594,TheDidacte,Glock-18
match001,3,76561198175180459,Kolle257,USP-S
match001,3,76561198812311227,anonymeTito,Glock-18
match001,3,76561198870364933,Dr_Risto,Glock-18
match001,3,76561198988987546,Baron26,Glock-18
match001,3,76561199272285495,NedsTrex | FRUKTPEEK!,P2000
match001,3,76561199643239709,Pimiento Picante,Glock-18
match001,3,76561199766385308,Tokugawa,USP-S
match001,3,76561198988987546,Baron26,AK-47
match001,3,76561198059502594,TheDidacte,AK-47
match001,3,76561199643239709,Pimiento Picante,SSG 08
match001,3,76561199766385308,Tokugawa,M4A1
match001,3,76561199127458988,Valerius,Nova
match001,3,76561198870364933,Dr_Risto,AK-47
match001,3,76561199272285495,NedsTrex | FRUKTPEEK!,Desert Eagle
match001,3,76561198175180459,Kolle257,SSG 08
match001,3,76561198812311227,anonymeTito,AK-47
match001,3,76561198870364933,Dr_Risto,Flashbang
match001,3,76561199766385308,Tokugawa,Smoke Grenade
match001,3,76561199028151244,KurtKnusper,AK-47
match001,3,76561198059502594,TheDidacte,Smoke Grenade
match001,3,76561198059502594,TheDidacte,HE Grenade
match001,3,76561198988987546,Baron26,HE Grenade
match001,3,76561199643239709,Pimiento Picante,HE Grenade
match001,3,76561198988987546,Baron26,Molotov
match001,3,76561199127458988,Valerius,P250
match001,3,76561199127458988,Valerius,AK-47
match001,3,76561199272285495,NedsTrex | FRUKTPEEK!,AK-47
match001,3,76561199643239709,Pimiento Picante,Smoke Grenade
match001,3,76561199127458988,Valerius,Smoke Grenade
match001,3,76561199272285495,NedsTrex | FRUKTPEEK!,SSG 08
match001,4,76561198059502594,TheDidacte,Glock-18
match001,4,76561198175180459,Kolle257,USP-S
match001,4,76561198812311227,anonymeTito,Glock-18
match001,4,76561198870364933,Dr_Risto,Glock-18
match001,4,76561198988987546,Baron26,Glock-18
match001,4,76561199028151244,KurtKnusper,USP-S
match001,4,76561199272285495,NedsTrex | FRUKTPEEK!,P2000
match001,4,76561199643239709,Pimiento Picante,Glock-18
match001,4,76561199766385308,Tokugawa,USP-S
match001,4,76561199127458988,Valerius,AK-47
match001,4,76561198988987546,Baron26,AK-47
match001,4,76561199643239709,Pimiento Picante,SSG 08
match001,4,76561198812311227,anonymeTito,AK-47
match001,4,76561198059502594,TheDidacte,AK-47
match001,4,76561199766385308,Tokugawa,M4A1
match001,4,76561199272285495,NedsTrex | FRUKTPEEK!,M4A1
match001,4,76561198870364933,Dr_Risto,AK-47
match001,4,76561199272285495,NedsTrex | FRUKTPEEK!,M4A4
match001,4,76561199127458988,Valerius,P250
match001,4,76561199127458988,Valerius,M4A4
match001,4,76561199028151244,KurtKnusper,MP7
match001,4,76561199766385308,Tokugawa,Smoke Grenade
match001,4,76561199272285495,NedsTrex | FRUKTPEEK!,MP7
match001,4,76561198175180459,Kolle257,HE Grenade
match001,4,76561198175180459,Kolle257,Smoke Grenade
match001,4,76561198175180459,Kolle257,Incendiary Grenade
match001,4,76561198175180459,Kolle257,M4A4
match001,4,76561199127458988,Valerius,HE Grenade
match001,4,76561199127458988,Valerius,Flashbang
match001,4,76561199127458988,Valerius,Smoke Grenade
match001,4,76561198059502594,TheDidacte,Flashbang
match001,4,76561199127458988,Valerius,Incendiary Grenade
match001,4,76561199643239709,Pimiento Picante,HE Grenade
match001,4,76561199643239709,Pimiento Picante,Smoke Grenade
match001,4,76561198988987546,Baron26,HE Grenade
match001,4,76561198988987546,Baron26,Molotov
match001,4,76561198175180459,Kolle257,AK-47
match001,4,76561199766385308,Tokugawa,AK-47
match001,4,76561199643239709,Pimiento Picante,AK-47
match001,5,76561198059502594,TheDidacte,Glock-18
match001,5,76561198175180459,Kolle257,USP-S
match001,5,76561198988987546,Baron26,Glock-18
match001,5,76561199028151244,KurtKnusper,USP-S
match001,5,76561199127458988,Valerius,USP-S
match001,5,76561199272285495,NedsTrex | FRUKTPEEK!,P2000
match001,5,76561199766385308,Tokugawa,USP-S
match001,5,76561198812311227,anonymeTito,Flashbang
match001,5,76561198812311227,anonymeTito,HE Grenade
match001,5,76561198870364933,Dr_Risto,Molotov
match001,5,76561198988987546,Baron26,AK-47
match001,5,76561199272285495,NedsTrex | FRUKTPEEK!,AWP
match001,5,76561199028151244,KurtKnusper,AWP
match001,5,76561199766385308,Tokugawa,M4A1
match001,5,76561199127458988,Valerius,MP9
match001,5,76561198870364933,Dr_Risto,AK-47
match001,5,76561199643239709,Pimiento Picante,Flashbang
match001,5,76561199272285495,NedsTrex | FRUKTPEEK!,Desert Eagle
match001,5,76561198812311227,anonymeTito,Smoke Grenade
match001,5,76561198812311227,anonymeTito,Incendiary Grenade
match001,5,76561198812311227,anonymeTito,AK-47
match001,5,76561198812311227,anonymeTito,Glock-18
match001,5,76561199766385308,Tokugawa,SSG 08
match001,5,76561198175180459,Kolle257,M4A1
match001,5,76561199643239709,Pimiento Picante,HE Grenade
match001,5,76561199643239709,Pimiento Picante,Smoke Grenade
match001,5,76561198059502594,TheDidacte,Smoke Grenade
match001,5,76561199643239709,Pimiento Picante,AK-47
match001,5,76561198059502594,TheDidacte,AK-47
match001,5,76561198870364933,Dr_Risto,Flashbang
match001,5,76561198059502594,TheDidacte,Flashbang
match001,5,76561198059502594,TheDidacte,Molotov
match001,5,76561198988987546,Baron26,HE Grenade
match001,5,76561199127458988,Valerius,AK-47
match001,5,76561199127458988,Valerius,Flashbang
match001,5,76561198175180459,Kolle257,Smoke Grenade
match001,5,76561199272285495,NedsTrex | FRUKTPEEK!,AK-47
match001,5,76561199643239709,Pimiento Picante,Glock-18
match001,5,76561199643239709,Pimiento Picante,AWP
match001,5,76561198175180459,Kolle257,AWP
match001,5,76561198175180459,Kolle257,AK-47
match001,6,76561198059502594,TheDidacte,Glock-18
match001,6,76561198812311227,anonymeTito,Glock-18
match001,6,76561198870364933,Dr_Risto,Glock-18
match001,6,76561198988987546,Baron26,Glock-18
match001,6,76561199127458988,Valerius,USP-S
match001,6,76561199272285495,NedsTrex | FRUKTPEEK!,P2000
match001,6,76561199643239709,Pimiento Picante,Glock-18
match001,6,76561199766385308,Tokugawa,USP-S
match001,6,76561199643239709,Pimiento Picante,AK-47
match001,6,76561198988987546,Baron26,PP-Bizon
match001,6,76561199127458988,Valerius,AWP
match001,6,76561198175180459,Kolle257,USP-S
match001,6,76561199766385308,Tokugawa,M4A1
match001,6,76561198988987546,Baron26,MAC-10
match001,6,76561199643239709,Pimiento Picante,MAC-10
match001,6,76561198870364933,Dr_Risto,P250
match001,6,76561198988987546,Baron26,HE Grenade
match001,6,76561199766385308,Tokugawa,Smoke Grenade
match001,6,76561199127458988,Valerius,MP9
match001,6,76561198059502594,TheDidacte,Tec-9
match001,6,76561199028151244,KurtKnusper,AWP
match001,6,76561198175180459,Kolle257,Flashbang
match001,6,76561199643239709,Pimiento Picante,HE Grenade
match001,6,76561198175180459,Kolle257,AK-47
match001,6,76561199643239709,Pimiento Picante,Flashbang
match001,6,76561199643239709,Pimiento Picante,Smoke Grenade
match001,6,76561198059502594,TheDidacte,MP9
match001,6,76561198988987546,Baron26,M4A1
match001,6,76561198059502594,TheDidacte,Flashbang
match001,7,76561198059502594,TheDidacte,Glock-18
match001,7,76561198175180459,Kolle257,USP-S
match001,7,76561198812311227,anonymeTito,Glock-18
match001,7,76561198870364933,Dr_Risto,Glock-18
match001,7,76561198988987546,Baron26,Glock-18
match001,7,76561199028151244,KurtKnusper,USP-S
match001,7,76561199127458988,Valerius,USP-S
match001,7,76561199272285495,NedsTrex | FRUKTPEEK!,P2000
match001,7,76561199766385308,Tokugawa,USP-S
match001,7,76561199643239709,Pimiento Picante,AK-47
match001,7,76561199766385308,Tokugawa,M4A1
match001,7,76561199028151244,KurtKnusper,AWP
match001,7,76561198988987546,Baron26,AK-47
match001,7,76561198175180459,Kolle257,M4A1
match001,7,76561198059502594,TheDidacte,AWP
match001,7,76561199127458988,Valerius,P90
match001,7,76561198870364933,Dr_Risto,AK-47
match001,7,76561198812311227,anonymeTito,AK-47
match001,7,76561198059502594,TheDidacte,Flashbang
match001,7,76561198812311227,anonymeTito,SG 553
match001,7,76561199766385308,Tokugawa,SSG 08
match001,7,76561199272285495,NedsTrex | FRUKTPEEK!,M4A1
match001,7,76561199766385308,Tokugawa,Dual Berettas
match001,7,76561198870364933,Dr_Risto,Molotov
match001,7,76561199643239709,Pimiento Picante,HE Grenade
match001,7,76561199643239709,Pimiento Picante,Flashbang
match001,7,76561199643239709,Pimiento Picante,Smoke Grenade
match001,7,76561198870364933,Dr_Risto,Flashbang
match001,7,76561198988987546,Baron26,HE Grenade
match001,7,76561198870364933,Dr_Risto,Smoke Grenade
match001,7,76561198870364933,Dr_Risto,HE Grenade
match001,7,76561199127458988,Valerius,AK-47
match001,7,76561198988987546,Baron26,Molotov
match001,8,76561198175180459,Kolle257,USP-S
match001,8,76561198812311227,anonymeTito,Glock-18
match001,8,76561198988987546,Baron26,Glock-18
match001,8,76561199028151244,KurtKnusper,USP-S
match001,8,76561199127458988,Valerius,USP-S
match001,8,76561199272285495,NedsTrex | FRUKTPEEK!,P2000
match001,8,76561199643239709,Pimiento Picante,Glock-18
match001,8,76561199766385308,Tokugawa,USP-S
match001,8,76561198059502594,TheDidacte,AWP
match001,8,76561198988987546,Baron26,AK-47
match001,8,76561199766385308,Tokugawa,M4A1
match001,8,76561198870364933,Dr_Risto,Smoke Grenade
match001,8,76561199643239709,Pimiento Picante,AK-47
match001,8,76561199766385308,Tokugawa,Smoke Grenade
match001,8,76561199766385308,Tokugawa,HE Grenade
match001,8,76561198175180459,Kolle257,AWP
match001,8,76561199127458988,Valerius,P90
match001,8,76561198812311227,anonymeTito,AK-47
match001,8,76561199028151244,KurtKnusper,MP7
match001,8,76561198175180459,Kolle257,M4A1
match001,8,76561198870364933,Dr_Risto,AK-47
match001,8,76561198175180459,Kolle257,HE Grenade
match001,8,76561198175180459,Kolle257,Flashbang
match001,8,76561198059502594,TheDidacte,Flashbang
match001,8,76561198175180459,Kolle257,Smoke Grenade
match001,8,76561199272285495,NedsTrex | FRUKTPEEK!,AWP
match001,8,76561198175180459,Kolle257,Incendiary Grenade
match001,8,76561198870364933,Dr_Risto,Molotov
match001,8,76561199643239709,Pimiento Picante,HE Grenade
match001,8,76561199643239709,Pimiento Picante,Smoke Grenade
match001,8,76561199127458988,Valerius,AK-47
match001,8,76561198870364933,Dr_Risto,Flashbang
match001,8,76561198059502594,TheDidacte,HE Grenade
match001,8,76561198059502594,TheDidacte,Smoke Grenade
match001,8,76561199643239709,Pimiento Picante,Molotov
match001,9,76561198059502594,TheDidacte,Glock-18
match001,9,76561198175180459,Kolle257,USP-S
match001,9,76561198812311227,anonymeTito,Glock-18
match001,9,76561198870364933,Dr_Risto,Glock-18
match001,9,76561198988987546,Baron26,Glock-18
match001,9,76561199028151244,KurtKnusper,USP-S
match001,9,76561199127458988,Valerius,USP-S
match001,9,76561199272285495,NedsTrex | FRUKTPEEK!,P2000
match001,9,76561199766385308,Tokugawa,USP-S
match001,9,76561198988987546,Baron26,AK-47
match001,9,76561199766385308,Tokugawa,M4A1
match001,9,76561198059502594,TheDidacte,AK-47
match001,9,76561198870364933,Dr_Risto,AWP
match001,9,76561199127458988,Valerius,AWP
match001,9,76561199028151244,KurtKnusper,MP7
match001,9,76561199272285495,NedsTrex | FRUKTPEEK!,M4A1
match001,9,76561199127458988,Valerius,M4A4
match001,9,76561198175180459,Kolle257,Nova
match001,9,76561198812311227,anonymeTito,Galil AR
match001,9,76561198059502594,TheDidacte,Smoke Grenade
match001,9,76561198175180459,Kolle257,HE Grenade
match001,9,76561198175180459,Kolle257,Flashbang
match001,9,76561198175180459,Kolle257,Smoke Grenade
match001,9,76561198059502594,TheDidacte,AWP
match001,9,76561198870364933,Dr_Risto,Molotov
match001,9,76561198870364933,Dr_Risto,AK-47
match001,9,76561199643239709,Pimiento Picante,AK-47
match001,9,76561198059502594,TheDidacte,Flashbang
match001,9,76561198870364933,Dr_Risto,Smoke Grenade
match001,9,76561198870364933,Dr_Risto,Flashbang
match001,9,76561198870364933,Dr_Risto,HE Grenade
match001,9,76561198059502594,TheDidacte,Molotov
match001,9,76561198175180459,Kolle257,AK-47
match001,9,76561198812311227,anonymeTito,Smoke Grenade
match001,9,76561198059502594,TheDidacte,HE Grenade
match001,9,76561199643239709,Pimiento Picante,HE Grenade
match001,9,76561199643239709,Pimiento Picante,Smoke Grenade
match001,9,76561199272285495,NedsTrex | FRUKTPEEK!,M4A4
match001,9,76561199272285495,NedsTrex | FRUKTPEEK!,Incendiary Grenade
match001,10,76561198059502594,TheDidacte,Glock-18
match001,10,76561198175180459,Kolle257,USP-S
match001,10,76561198988987546,Baron26,Glock-18
match001,10,76561199028151244,KurtKnusper,USP-S
match001,10,76561199127458988,Valerius,USP-S
match001,10,76561199272285495,NedsTrex | FRUKTPEEK!,P2000
match001,10,76561199643239709,Pimiento Picante,Glock-18
match001,10,76561199766385308,Tokugawa,USP-S
match001,10,76561198059502594,TheDidacte,AK-47
match001,10,76561198870364933,Dr_Risto,Glock-18
match001,10,76561198870364933,Dr_Risto,AK-47
match001,10,76561199127458988,Valerius,Negev
match001,10,76561199643239709,Pimiento Picante,AK-47
match001,10,76561198059502594,TheDidacte,Flashbang
match001,10,76561198988987546,Baron26,AK-47
match001,10,76561199028151244,KurtKnusper,M4A1
match001,10,76561199766385308,Tokugawa,M4A1
match001,10,76561198175180459,Kolle257,Nova
match001,10,76561199766385308,Tokugawa,SSG 08
match001,10,76561199272285495,NedsTrex | FRUKTPEEK!,M4A1
match001,10,76561198812311227,anonymeTito,Galil AR
match001,10,76561199766385308,Tokugawa,Smoke Grenade
match001,10,76561199766385308,Tokugawa,HE Grenade
match001,10,76561198870364933,Dr_Risto,Flashbang
match001,10,76561198812311227,anonymeTito,Glock-18
match001,10,76561198812311227,anonymeTito,M4A1
match001,10,76561199643239709,Pimiento Picante,HE Grenade
match001,10,76561198870364933,Dr_Risto,HE Grenade
match001,10,76561199127458988,Valerius,HE Grenade
match001,10,76561198870364933,Dr_Risto,Smoke Grenade
match001,10,76561199127458988,Valerius,Flashbang
match001,10,76561198870364933,Dr_Risto,Molotov
match001,10,76561199127458988,Valerius,AK-47
match001,11,76561198175180459,Kolle257,USP-S
match001,11,76561198988987546,Baron26,Glock-18
match001,11,76561199028151244,KurtKnusper,USP-S
match001,11,76561199127458988,Valerius,USP-S
match001,11,76561199272285495,NedsTrex | FRUKTPEEK!,P2000
match001,11,76561199766385308,Tokugawa,USP-S
match001,11,76561198059502594,TheDidacte,Smoke Grenade
match001,11,76561198988987546,Baron26,AK-47
match001,11,76561199766385308,Tokugawa,M4A1
match001,11,76561198870364933,Dr_Risto,Flashbang
match001,11,76561199643239709,Pimiento Picante,HE Grenade
match001,11,76561199028151244,KurtKnusper,MP7
match001,11,76561199127458988,Valerius,M4A4
match001,11,76561198812311227,anonymeTito,AWP
match001,11,76561199766385308,Tokugawa,XM1014
match001,11,76561198812311227,anonymeTito,Glock-18
match001,11,76561198175180459,Kolle257,M4A1
match001,11,76561199272285495,NedsTrex | FRUKTPEEK!,AWP
match001,11,76561198988987546,Baron26,M4A1
match001,11,76561199766385308,Tokugawa,Smoke Grenade
match001,11,76561199643239709,Pimiento Picante,AK-47
match001,11,76561198059502594,TheDidacte,AK-47
match001,11,76561198059502594,TheDidacte,Flashbang
match001,11,76561198988987546,Baron26,HE Grenade
match001,11,76561198988987546,Baron26,Flashbang
match001,11,76561198870364933,Dr_Risto,AK-47
match001,11,76561199766385308,Tokugawa,R8 Revolver
match001,11,76561198988987546,Baron26,Molotov
match001,11,76561198059502594,TheDidacte,Molotov
match001,11,76561199028151244,KurtKnusper,HE Grenade
match001,11,76561198059502594,TheDidacte,Glock-18
match001,11,76561198059502594,TheDidacte,AWP
match001,11,76561198870364933,Dr_Risto,Smoke Grenade
match001,11,76561198059502594,TheDidacte,HE Grenade
match001,11,76561198988987546,Baron26,M4A4
match001,11,76561198175180459,Kolle257,AK-47
match001,11,76561198175180459,Kolle257,Molotov
match001,11,76561199643239709,Pimiento Picante,Glock-18
match001,12,76561198175180459,Kolle257,USP-S
match001,12,76561198870364933,Dr_Risto,Glock-18
match001,12,76561199028151244,KurtKnusper,USP-S
match001,12,76561199127458988,Valerius,USP-S
match001,12,76561199272285495,NedsTrex | FRUKTPEEK!,P2000
match001,12,76561199766385308,Tokugawa,USP-S
match001,12,76561199643239709,Pimiento Picante,AK-47
match001,12,76561199766385308,Tokugawa,M4A1
match001,12,76561198870364933,Dr_Risto,AK-47
match001,12,76561198059502594,TheDidacte,Smoke Grenade
match001,12,76561198059502594,TheDidacte,AWP
match001,12,76561199127458988,Valerius,AWP
match001,12,76561199028151244,KurtKnusper,MP7
match001,12,76561198175180459,Kolle257,Nova
match001,12,76561198870364933,Dr_Risto,Molotov
match001,12,76561198870364933,Dr_Risto,Smoke Grenade
match001,12,76561198870364933,Dr_Risto,Flashbang
match001,12,76561198870364933,Dr_Risto,HE Grenade
match001,12,76561198059502594,TheDidacte,AK-47
match001,12,76561198812311227,anonymeTito,Glock-18
match001,12,76561199127458988,Valerius,HE Grenade
match001,12,76561199127458988,Valerius,Flashbang
match001,12,76561199127458988,Valerius,Zeus x27
match001,12,76561199643239709,Pimiento Picante,HE Grenade
match001,12,76561199643239709,Pimiento Picante,Flashbang
match001,12,76561198175180459,Kolle257,HE Grenade
match001,12,76561198175180459,Kolle257,Flashbang
match001,12,76561198175180459,Kolle257,Smoke Grenade
match001,12,76561198988987546,Baron26,HE Grenade
match001,12,76561198988987546,Baron26,Flashbang
match001,12,76561198988987546,Baron26,Smoke Grenade
match001,12,76561198988987546,Baron26,M4A4
match001,12,76561198812311227,anonymeTito,AWP
match001,12,76561198059502594,TheDidacte,Molotov
match001,12,76561198059502594,TheDidacte,HE Grenade
match001,12,76561198988987546,Baron26,Molotov
match001,12,76561198175180459,Kolle257,Incendiary Grenade
match001,12,76561199643239709,Pimiento Picante,Smoke Grenade
match001,12,76561199643239709,Pimiento Picante,Molotov
match001,12,76561198059502594,TheDidacte,Flashbang
match001,12,76561198812311227,anonymeTito,Flashbang
match001,12,76561198812311227,anonymeTito,Smoke Grenade
match001,12,76561198812311227,anonymeTito,Molotov
match001,13,76561198059502594,TheDidacte,USP-S
match001,13,76561198175180459,Kolle257,Glock-18
match001,13,76561198812311227,anonymeTito,USP-S
match001,13,76561198870364933,Dr_Risto,USP-S
match001,13,76561198988987546,Baron26,USP-S
match001,13,76561199028151244,KurtKnusper,Glock-18
match001,13,76561199127458988,Valerius,Glock-18
match001,13,76561199272285495,NedsTrex | FRUKTPEEK!,Glock-18
match001,13,76561199643239709,Pimiento Picante,USP-S
match001,13,76561199766385308,Tokugawa,Glock-18
match001,13,76561198870364933,Dr_Risto,Smoke Grenade
match001,13,76561199028151244,KurtKnusper,Tec-9
match001,13,76561199127458988,Valerius,Tec-9
match001,14,76561198059502594,TheDidacte,USP-S
match001,14,76561198175180459,Kolle257,Glock-18
match001,14,76561198812311227,anonymeTito,USP-S
match001,14,76561198870364933,Dr_Risto,USP-S
match001,14,76561199028151244,KurtKnusper,Glock-18
match001,14,76561199127458988,Valerius,Glock-18
match001,14,76561199272285495,NedsTrex | FRUKTPEEK!,Glock-18
match001,14,76561199643239709,Pimiento Picante,USP-S
match001,14,76561199766385308,Tokugawa,Glock-18
match001,14,76561198812311227,anonymeTito,M4A1
match001,14,76561199766385308,Tokugawa,SSG 08
match001,14,76561198059502594,TheDidacte,M4A1
match001,14,76561198870364933,Dr_Risto,M4A1
match001,14,76561199028151244,KurtKnusper,Nova
match001,14,76561199127458988,Valerius,Desert Eagle
match001,14,76561199643239709,Pimiento Picante,M4A1
match001,14,76561199272285495,NedsTrex | FRUKTPEEK!,Desert Eagle
match001,14,76561199272285495,NedsTrex | FRUKTPEEK!,MAC-10
match001,14,76561198175180459,Kolle257,Nova
match001,14,76561199766385308,Tokugawa,MAC-10
match001,14,76561198988987546,Baron26,M4A4
match001,14,76561199766385308,Tokugawa,Smoke Grenade
match001,14,76561198175180459,Kolle257,Flashbang
match001,14,76561198175180459,Kolle257,Molotov
match001,14,76561198988987546,Baron26,HE Grenade
match001,14,76561198988987546,Baron26,Incendiary Grenade
match001,14,76561198175180459,Kolle257,M4A1
